GENESIS-Tabelle: 21411-0002
BAföG - Geförderte Personen und finanzieller Aufwand:;;;;;;;;;;;;;;;;;;;
Bundesländer, Jahre, Personenkreis;;;;;;;;;;;;;;;;;;;
Statistik der Bundesausbildungsförderung (BAföG);;;;;;;;;;;;;;;;;;;
;;Schüler;Schüler;Schüler;Schüler;Schüler;Schüler;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt
;;Geförderte Personen;Personen mit Vollförderung;Personen mit Teilförderung;Geförderte Personen (durchschnittl. Monatsbestand);Finanzieller Aufwand;Durchschnittl. monatl. Förderungsbetrag pro Person;Geförderte Personen;Personen mit Vollförderung;Personen mit Teilförderung;Geförderte Personen (durchschnittl. Monatsbestand);Finanzieller Aufwand;Durchschnittl. monatl. Förderungsbetrag pro Person;Geförderte Personen;Personen mit Vollförderung;Personen mit Teilförderung;Geförderte Personen (durchschnittl. Monatsbestand);Finanzieller Aufwand;Durchschnittl. monatl. Förderungsbetrag pro Person
;;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;EUR
Hamburg;2002;3595;2184;1411;2029;7383;303;12666;5044;7622;8539;42624;416;16262;7228;9034;10568;50007;394
Hamburg;2003;4331;2602;1729;2500;9133;304;13697;5693;8004;9391;46865;416;18029;8295;9734;11892;56001;392
Hamburg;2004;4845;2962;1883;2864;10421;303;14203;5903;8300;9856;49285;417;19048;8865;10183;12720;59709;391
Hamburg;2005;5444;3355;2089;3211;11517;299;14584;6209;8375;10173;51150;419;20032;9568;10464;13387;62685;390
Hamburg;2006;5663;3539;2124;3352;11867;295;14487;6153;8334;10086;50520;417;20152;9694;10458;13440;62399;387
Hamburg;2007;5631;3553;2078;3336;11841;296;14234;6119;8115;9677;48806;420;19869;9674;10195;13016;60661;388
Hamburg;2008;6000;3970;2030;3494;13921;332;14537;6785;7752;9668;51799;446;20544;10758;9786;13167;65742;416
Hamburg;2009;6848;4424;2424;3923;16932;360;16847;7817;9030;10946;63936;487;23701;12244;11457;14873;80893;453
Hamburg;2010;7254;4693;2561;4184;18600;370;18563;8466;10097;11900;69287;485;25825;13162;12663;16088;87908;455
Hamburg;2011;7588;4796;2792;4460;21047;393;20144;8951;11193;13084;77827;496;27742;13751;13991;17551;98919;470
Hamburg;2012;7726;4790;2936;4545;21409;393;21380;9395;11985;13840;83570;503;29106;14185;14921;18386;104979;476
Hamburg;2013;7528;4595;2933;4432;21241;399;21285;9498;11787;13764;83460;505;28813;14093;14720;18196;104701;480
Hamburg;2014;7713;4842;2871;4561;22401;409;19595;8868;10727;12620;75689;500;27308;13710;13598;17181;98090;476
Hamburg;2015;6904;4533;2371;5800;41921;414;17485;8080;9405;11530;68550;495;24389;12613;11776;15608;88826;474
Hamburg;2016;6758;4441;2317;3949;20029;423;18495;8928;9567;11595;72931;524;25253;13369;11884;15544;92960;498
Hamburg;2017;6303;4252;2051;3743;19854;442;17303;8350;8953;11137;73015;546;23606;12602;11004;14880;92868;520
Hamburg;2018;6096;4361;1735;3576;18831;439;16233;8966;7267;10553;68542;541;22329;13327;9002;14129;87372;515
Hessen;1991;10724;4068;6656;6157;18383;249;44096;14681;29415;32509;119588;307;54820;18749;36071;38666;137972;297
Hessen;1992;9781;3516;6265;5637;16752;248;44064;13961;30103;32350;118897;306;53845;17477;36368;37987;135650;298
Hessen;1993;8486;3067;5419;4852;14856;255;40825;13162;27663;29930;112725;314;49311;16229;33082;34782;127581;306
Hessen;1994;7774;3469;4305;4606;14543;263;35981;11806;24175;26335;98972;313;43755;15275;28480;30941;113515;306
Hessen;1995;7321;3701;3620;4300;14000;271;31611;11241;20370;22803;88283;323;38932;14942;23990;27104;102283;314
Hessen;1996;6909;3111;3798;4011;13058;271;27770;10201;17569;19599;79988;340;34679;13312;21367;23610;93045;328
Hessen;1997;6716;2732;3984;3847;11849;257;23626;8414;15212;16115;65009;336;30342;11146;19196;19962;76858;321
Hessen;1998;6801;2744;4057;3968;12205;256;21550;7477;14073;14741;58679;332;28351;10221;18130;18709;70884;316
Hessen;1999;7169;3003;4166;4198;13009;258;20877;7263;13614;14281;57780;337;28046;10266;17780;18479;70789;319
Hessen;2000;7401;3011;4390;4409;13488;255;21088;7045;14043;14343;58917;342;28490;10057;18433;18753;72407;322
Hessen;2001;8752;5320;3432;4995;17840;298;24170;6912;17258;16000;72162;376;32923;12233;20690;20995;90003;357
